Time_UTC,Time_From_Pass_Start_s,Azimuth_deg,Elevation_deg,Range_km,Radial_Velocity_mps,Azimuth_Rate_deg_per_s,Elevation_Rate_deg_per_s,Above_Minimum_Elevation,Source
13-Jul-2026 13:10:00,85,347.461257135569,28.8936196539406,948.32254324962,-4677.53209309008,0.310152827254498,0.203044054918616,1,satelliteScenario
13-Jul-2026 13:10:05,90,349.064966189185,29.9204339516607,925.288820021949,-4530.46596180925,0.332242939459336,0.207434946945937,1,satelliteScenario
13-Jul-2026 13:10:10,95,350.783686530162,30.9679691234,903.017883631527,-4372.05498994867,0.35621339497154,0.211244129325057,1,satelliteScenario
13-Jul-2026 13:10:15,100,352.627100138901,32.0328752449112,881.568270122462,-4201.58117762988,0.382165710414783,0.214279199525626,1,satelliteScenario
13-Jul-2026 13:10:20,105,354.60534363431,33.1107611186562,861.002071855229,-4018.35220245562,0.41017456331804,0.216315429592496,1,satelliteScenario
13-Jul-2026 13:10:25,110,356.728845772081,34.1960295408362,841.384748097906,-3821.72475300323,0.440272243953587,0.217095271986787,1,satelliteScenario
13-Jul-2026 13:10:30,115,359.008066073846,35.2817138385241,822.784824325196,-3611.1321303169,0.472427458620932,0.216330156371741,1,satelliteScenario
13-Jul-2026 13:10:35,120,1.45312035829027,36.3593311045536,805.273426794737,-3386.11887729629,0.506521684819109,0.213705774301377,1,satelliteScenario
13-Jul-2026 13:10:40,125,4.0732829220371,37.4187715815379,788.923635552233,-3146.37806295002,0.542320264700641,0.208891827086026,1,satelliteScenario
13-Jul-2026 13:10:45,130,6.8763230052967,38.4482493754139,773.809646165237,-2891.7922896645,0.579439733499022,0.201557519827994,1,satelliteScenario
13-Jul-2026 13:10:50,135,9.86768025702735,39.4343467798178,760.005712655588,-2622.47497426656,0.617318733271597,0.191393557165185,1,satelliteScenario
13-Jul-2026 13:10:55,140,13.0495103380127,40.3621849470657,747.584896422571,-2338.80942540232,0.655194548209248,0.178140808153656,1,satelliteScenario
13-Jul-2026 13:11:00,145,16.4196257391198,41.2157548613544,736.617618401565,-2041.4847150484,0.692093170135843,0.161624741670543,1,satelliteScenario
13-Jul-2026 13:11:05,150,19.9704420393711,41.9784323637711,727.170049272087,-1731.51798687866,0.726846647600415,0.141792311291973,1,satelliteScenario
13-Jul-2026 13:11:10,155,23.6880922151239,42.6336779742741,719.302438532779,-1410.26407139818,0.758142522951244,0.118746774155354,1,satelliteScenario
13-Jul-2026 13:11:15,160,27.5518672688835,43.1659001053247,713.067408558106,-1079.41155142804,0.784610035619644,0.0927740366384839,1,satelliteScenario
13-Jul-2026 13:11:20,165,31.5341925713204,43.5614183406589,708.508323018498,-740.951409905788,0.804943893924907,0.0643522026024833,1,satelliteScenario
13-Jul-2026 13:11:25,170,35.6013062081326,43.8094221313495,705.657894459048,-397.127902038896,0.818046758126442,0.0341390277796492,1,satelliteScenario
13-Jul-2026 13:11:30,175,39.7146601525848,43.9028086184554,704.537043998109,-50.3763367697946,0.823165622051791,0.00293498157766905,1,satelliteScenario
